NUMERACION,FECHA,HORA,DIA,GESTION,MES,PROVINCIA,MUNICIPIO,BARRIO,AVENIDA_O_CALLE,LUGAR_ESPECIFICO_DEL_HECHO,COORDENADAS,TIPO_DE_HECHO,TIPO_DE_AUTOPARTES_O_ACCESORIOS_ROBADOS,TIPO_DEL_VEHICULO,MARCA_DEL_VEHICULO,SEXO_DE_LA_VICTIMA,EDAD_DE_LA_VICTIMA,NACIONALIDAD_DE_LA_VICTIMA,SEXO_DEL_AUTOR_O_SINDICADO,EDAD_DEL_AUTOR_O_SINDICADO,NACIONALIDAD_DEL_AUTOR_O_SINDICADO,SITUACION_JURICA_DEL_AUTOR_ARRESTADO_O_APREHENDIDO,AREA_URBANO_O_RURAL,OBSERVACIONES,LAT,LON,ERROR_GPS
2,2022-01-02,140000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO JUNIN,CALLE INNOMINADO,ALTURA 6TO DISTRITO NAVAL,"-11.016353, -68.752053",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,31.0,BOLIVIANO,MASCULINO,32.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.016353,-68.752053,
3,2022-01-01,160000,MIERCOLES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO PETTY RAY,CALLE SIN NOMBRE,ALTURA MERCADO PETTY RAY,"-11.033975, -68.764373",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,25.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.033975,-68.764373,
4,2022-01-05,230000,JUEVES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO 11 DE OCTUBRE,AVENIDA 9 DE FEBRERO,ALTURA HOTEL VICTORIA,"-11.03684, -68.769946",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,21.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.03684,-68.769946,
5,2022-01-06,210000,VIERNES,2022,ENE,NICOLAS SUAREZ,COBIJA,SIN DATO,AVENIDA LAS PALMAS,ALTURA FRENTE DEL CRISTO,"-11.032159, -68.7619787",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.032159,-68.7619787,
6,2022-01-10,210000,SABADO,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO SENAC,AVENIDA 9 DE FEBRERO,ALTURA PARQUE PINA INGRESO A COSSMIL,"-11.032159, -68.7619787",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,23.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.032159,-68.7619787,
7,2022-01-06,170000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO ANTOFAGASTA,CALLE SIN NOMBRE,ALTURA INGRESO AL GARAJE DE LA ALCALDIA,"-11.04625, -68.777395",RECEPTACION DE VEHICULO,SIN DATO,AUTOMOVIL,HYUNDAI,SIN DATO,,SIN DATO,MASCULINO,29.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.04625,-68.777395,
8,2022-01-15,000000,LUNES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO LA CRUZ,CALLE SIN NOMBRE,NN,"-11.019809, -68.765778",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,TOYOTA,SIN DATO,,SIN DATO,MASCULINO,27.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.019809,-68.765778,
9,2022-01-16,000000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO NAZARIA,CALLE SIN NOMBRE,ALTURA PLAZA NAZARIA,"-11.036348, -68.773408",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,YAMAHA,MASCULINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.036348,-68.773408,
10,2022-01-25,010000,MIERCOLES,2022,ENE,NICOLAS SUAREZ,COBIJA,SIN DATO,AVENIDA 9 DE FEBRERO,ALTURA FERIA DE LAS ALASITAS,"-11.09596, -68.763595",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,FEMENINO,25.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.09596,-68.763595,
11,2022-01-23,230000,JUEVES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO 11 DE OCTUBRE,AVENIDA 9 DE FEBRERO,NN,"-11.03684, -68.769946",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,PEGASUS,FEMENINO,22.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.03684,-68.769946,
12,2022-01-27,060000,VIERNES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO PARAISO,CALLE JOSE DA COSTA,NN,"-11.026427, -68.77451",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.026427,-68.77451,
13,2022-01-31,070000,SABADO,2022,ENE,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,CALLE CHUQUISACA,ALTURA GOBIERNO AUTONOMO DE PANDO,"-11.0223348, -68.757465",ROBO DE AUTOPARTES,BATERIA,SIN DATO,SIN DATO,MASCULINO,71.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0223348,-68.757465,
14,2022-02-01,070000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,CALLE CHUQUISACA,ALTURA GOBIERNO AUTONOMO DE PANDO,"-11.0223348, -68.757465",ROBO DE AUTOPARTES,BATERIA,SIN DATO,SIN DATO,MASCULINO,71.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0223348,-68.757465,
15,2022-01-14,100000,LUNES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO 1RO DE MAYO,CALLE INNOMINADO,ALTURA FINAL ENLOSETADO,"-11.032701, -68.771149",MOTOCICLETA ABANDONADA,SIN DATO,MOTOCICLETA,YAMAHA,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.032701,-68.771149,
16,2022-01-18,090000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO PANTANAL,CALLE SIN NOMBRE,ALTURA MODULO POLICIAL,"-11.038557, -68.768824",MOTOCICLETA ABANDONADA,SIN DATO,MOTOCICLETA,HONDA,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.038557,-68.768824,
17,2022-01-17,170000,MIERCOLES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO PETROLERO,AVENIDA ACRE S N,NN,"-11.023047, -68.77583",MOTOCICLETA ABANDONADA,SIN DATO,MOTOCICLETA,HONDA,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.023047,-68.77583,
18,2022-01-17,220000,JUEVES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO CONAVI,CALLE SIN NOMBRE,NN,"-11.034495, -68.767088",MOTOCICLETA ABANDONADA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,,BRASILERO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.034495,-68.767088,
19,2022-02-04,220000,VIERNES,2022,FEB,NICOLAS SUAREZ,COBIJA,BARRIO PARAISO,CALLE INNOMINADO,ALTURA VENTA DE POLLO,"-11.02647, -68.776906",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,MASCULINO,30.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.02647,-68.776906,
20,2022-02-11,030000,SABADO,2022,FEB,NICOLAS SUAREZ,COBIJA,BARRIO GARCIA LINERA,CALLE INNOMINADO,NN,"-11.030705, -68.773193",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,FEMENINO,26.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.030705,-68.773193,
21,2022-02-12,150000,MARTES,2022,FEB,NICOLAS SUAREZ,COBIJA,COMUNIDAD AVAROA,CALLE INNOMINADO,ALTURA CARRERERA PORVENIR,"-11.081744, -68.783823",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,MASCULINO,25.0,BOLIVIANO,MASCULINO,19.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.081744,-68.783823,
22,2022-02-11,210000,LUNES,2022,FEB,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,AVENIDA 9 DE FEBRERO,ALTURA FARMACIA SAN BERNARDO,"-11.0310547, -68.7634608",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,SERNA,MASCULINO,20.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0310547,-68.7634608,
23,2022-02-13,050000,MARTES,2022,FEB,NICOLAS SUAREZ,COBIJA,BARRIO NAZARIA,AVENIDA PANDO,NN,"-11.034627, -68.776259",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,DAYANG,MASCULINO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.034627,-68.776259,
24,2022-02-09,000000,MIERCOLES,2022,FEB,NICOLAS SUAREZ,BELLA FLOR,COMUNIDAD PUERTO EVO VECINO PAIS BRASIL,CALLE INNOMINADO,ALTURA PUERTO EVO,"-10.3389660768117, -67.1942957470517",ROBO DE VEHICULO,SIN DATO,SIN DATO,SIN DATO,MASCULINO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-10.3389660768117,-67.1942957470517,
25,2022-02-06,120000,JUEVES,2022,FEB,NICOLAS SUAREZ,COBIJA,SIN DATO,AVENIDA FERNANDEZ MOLINA,ALTURA PUENTE AZUL,"-11.021158, -68.756011",MOTOCICLETA ABANDONADA,SIN DATO,MOTOCICLETA,KYNGO,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.021158,-68.756011,
26,2022-02-07,200000,VIERNES,2022,FEB,NICOLAS SUAREZ,COBIJA,BARRIO CACIQUE,CALLE INNOMINADO,ALTURA BALNEARIO LA ESPERANZA,"-11.012672, -68.770447",MOTOCICLETA ABANDONADA,SIN DATO,MOTOCICLETA,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.012672,-68.770447,
27,2022-02-07,200000,SABADO,2022,FEB,NICOLAS SUAREZ,COBIJA,BARRIO CACIQUE,CALLE INNOMINADO,ALTURA BALNEARIO LA ESPERANZA,"-11.012672, -68.770447",MOTOCICLETA ABANDONADA,SIN DATO,MOTOCICLETA,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.012672,-68.770447,
28,2022-03-18,200000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO NAZARIA,AVENIDA NAZARIA,ALTURA DEL MERCADO,"-11.034909, -67.776177",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,SIN DATO,FEMENINO,31.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.034909,-67.776177,
29,2022-03-01,220000,LUNES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PERLA DEL ACRE,CALLE SIN NOMBRE,ALTURA AVENIDA PRINCIPAL,"-11.034788, -68.776146",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,PEGASUS,MASCULINO,45.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.034788,-68.776146,
30,2022-03-02,030000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO 27 DE MAYO,CALLE SIN NOMBRE,ALTURA AVENIDA PANDO,"-11.023177, -68.76671",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,25.0,BOLIVIANO,MASCULINO,,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.023177,-68.76671,
31,2022-03-01,230000,MIERCOLES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,CALLE SIN NOMBRE,ALTURA PLAZA POTOSI INMEDIACIONES ROTONDA DE LA UNIVERSITAD UAP,"-11.131683, -68.792295",ROBO DE VEHICULO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.131683,-68.792295,
32,,180000,JUEVES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PARAISO,CALLE FLOR DE TAROPES,ALTURA FRENTE A LA UNIDAD DIPROVE PANDO,"-11.023047, -68.77583",ROBO DE VEHICULO,SIN DATO,SIN DATO,SIN DATO,MASCULINO,41.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.023047,-68.77583,
33,2022-02-28,160000,VIERNES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO NAZARIA,CALLE 6 DE JUNIO,ALTURA EX CAJA UNIVERCITARIO,"-11.034788, -68.776146",ROBO DE AUTOPARTES,BATERIA,SIN DATO,SIN DATO,MASCULINO,38.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.034788,-68.776146,
34,2022-03-01,090000,SABADO,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO CONAVI,AVENIDA INTERNACIONAL,ALTURA AVENIDA PRINCIPAL,"-11.027724, -68.759417",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,52.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.027724,-68.759417,
35,2022-01-23,090000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO SENAC,AVENIDA 9 DE FEBRERO,ALTURA CLINICA BURGOS,"-11.027845, -68.760778",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,BAJAJ,MASCULINO,37.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.027845,-68.760778,
36,2022-03-09,100000,LUNES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO 27 DE JUNIO,CALLE INTEGRACION,ALTURA AVENIDA PRINCIPAL,"-11.09406, -68.778744",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,37.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.09406,-68.778744,
37,2022-03-05,000000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO TUNARI,CALLE SIN NOMBRE,ALTURA PUENTE,"-11.01916, -68.76446",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.01916,-68.76446,
38,2022-03-05,030000,MIERCOLES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PAZ ZAMORA,CALLE PEDRO VILLA LOBOS,ALTURA FRENTE AL CANAL 45,"-11.043282, -68.776236",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,59.0,BOLIVIANO,MASCULINO,19.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.043282,-68.776236,
39,2022-03-13,170000,JUEVES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO SAN JUAN 1,AVENIDA 9 DE FEBRERO,ALTURA KILOMERO 4,"-10.996174, -66.063245",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,PEGASUS,MASCULINO,64.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-10.996174,-66.063245,
40,2022-03-11,160000,VIERNES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PERLA DEL ACRE,CALLE SIN NOMBRE,ALTURA CENTRO DE SALUD PERLA DEL ACRE,"-11.0286112, -68.7788272",ROBO DE VEHICULO,SIN DATO,TRACTOR,VOLVO,SIN DATO,,SIN DATO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0286112,-68.7788272,
41,2022-03-06,210000,SABADO,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO SAN JUAN 1,CARRETERA COBIJA PORVENIR,ALTURA DISCOTECA ENCANTADO,"-11.0523876158265, -68.778082393325",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,29.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0523876158265,-68.778082393325,
42,2022-03-20,040000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO 6 DE JUNIO,CALLE SIN NOMBRE,ALTURA AVENIDA PRINCIPAL,"-11.031221, -68.754333",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,72.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.031221,-68.754333,
43,2022-03-13,210000,LUNES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,AVENIDA 9 DE FEBRERO,ALTURA PARQUE PINATA,"-11.030007, -68.763594",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,39.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.030007,-68.763594,
44,2022-03-17,040000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO POLICIAL,AVENIDA PANDO,ALTURA AVENIDA PRINCIPAL,"-11.248384, -67.967502",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,19.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.248384,-67.967502,
45,2022-03-17,200000,MIERCOLES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PETROLERO,AVENIDA PETROLERO,ALTURA CARRETERA PRINCIPAL,"-11.031221, -68.754333",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,54.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.031221,-68.754333,
46,2022-03-19,110000,JUEVES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,AVENIDA 9 DE FEBRERO,ALTURA MERCADO ABASTOS,"-11.031221, -68.754333",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,49.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.031221,-68.754333,
47,2022-03-20,000000,VIERNES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PARAISO,CALLE LIRIOS,ALTURA TIENDA,"-11.021733, -68.76993",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,SUMO,FEMENINO,34.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.021733,-68.76993,
48,2022-03-25,210000,SABADO,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO TAJIBOS,CALLE SIN NOMBRE,ALTURA PARTE POSTERIOR DEL HOSPITAL,"-11.033604, -68.766491",ROBO AGRAVADO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,SERNA,FEMENINO,32.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.033604,-68.766491,
49,2022-03-19,190000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO NAZARIA,AVENIDA NAZARIA,ALTURA CLINICA COPACABANA,"-11.036366, -68.774759",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,MASCULINO,34.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.036366,-68.774759,
50,2022-03-24,050000,LUNES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO EVO MORALES,CALLE SIN NOMBRE,ALTURA MANZANO 165 LOTE 8,"-11.04079, -68.766074",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,FEMENINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.04079,-68.766074,
51,,030000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,URBANIZACION ASANA,CALLE SIN NOMBRE,ALTURA IGLESIA BAUTISTA,"-11.021233, -68.777168",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,25.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.021233,-68.777168,
52,2022-03-25,210000,MIERCOLES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA PERIFERICA,AVENIDA 9 DE FEBRERO,ALTURA KILOMETRO 3,"-11.054792, -68.779826",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,33.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.054792,-68.779826,
53,2022-03-26,160000,JUEVES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PARAISO,CALLE SIN NOMBRE,ALTURA PLAZA PARAISO,"-11.1517941, -68.9325131",ROBO AGRAVADO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,23.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.1517941,-68.9325131,
54,2022-03-26,170000,VIERNES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA INTERNACIONAL,AVENIDA INTERNACIONAL,ALTURA AVENIDA PRINCIPAL,"-11.026973, -68.753729",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,DANNY,FEMENINO,28.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.026973,-68.753729,
55,2022-03-22,030000,SABADO,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PANTANAL,CALLE SIN NOMBRE,ALTURA AVENIDA PRINCIPAL,"-11.0317033, -68.7749405",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,TOYOTA,FEMENINO,20.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0317033,-68.7749405,
56,2022-03-22,220000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO TAJIBOS,AVENIDA TAJIVOS,ALTURA AVENIDA PANDO,"-11.0324258, -68.7714967",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,TOYOTA,MASCULINO,20.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0324258,-68.7714967,
57,2022-02-24,040000,LUNES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,AVENIDA PANDO,ALTURA EMPRESA TAHUAMANO,"-11.0309294, -68.7858314",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,26.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0309294,-68.7858314,
58,2022-03-27,200000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO PERLA DEL ACRE,CALLE SIN NOMBRE,ALTURA PARTE POSTERIOR DEL AEROPUERTO,"-11.0450523, -68.7862281",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,21.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0450523,-68.7862281,
59,2022-03-02,040000,MIERCOLES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO COPACABANA,AVENIDA PANDO,ALTURA CARRETERA PORVENIR,"-11.2499786, -67.9754218",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,GAN MONTERO,FEMENINO,42.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.2499786,-67.9754218,
60,2022-03-29,100000,JUEVES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO LA AMISTAD,AVENIDA EUROPA,ALTURA AVENIDA PRINCIPAL,"-11.011134, -68.774661",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,GAN MONTERO,FEMENINO,28.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.011134,-68.774661,
61,2022-03-27,160000,VIERNES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,CALLE 16 DE JULIO,ALTURA AVENIDA PRINCIPAL,"-11.3745426, -68.1191774",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,21.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.3745426,-68.1191774,
62,2022-03-23,220000,SABADO,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO SANTA CLARA,AVENIDA PANDO,ALTURA IGLECIA BENDITA TRINIDAD,"-11.0314607, -68.7760334",HURTO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,FEMENINO,28.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0314607,-68.7760334,
63,2022-10-08,120000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO 27 DE JUNIO,AVENIDA PRINCIPAL,ALTURA COLEGIO MANUELA ROJAS DE DOMINGUEZ,"-11.0174317, -68.7804951",HURTO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,23.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0174317,-68.7804951,
64,2022-03-28,160000,LUNES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,AVENIDA PANDO,ALTURA FARMACIA CRUS DE SUR,"-11.0174312, -68.7958161",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,MITSUBISHI,MASCULINO,66.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0174312,-68.7958161,
65,2022-03-07,230000,MARTES,2022,MAR,NICOLAS SUAREZ,COBIJA,BARRIO 11 DE OCTUBRE,AVENIDA 9 DE FEBRERO,ALTURA KILOMETRO 2,"-11.9550523, -68.7862123",HURTO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,SIN DATO,MASCULINO,42.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.9550523,-68.7862123,
66,2022-03-30,180000,MIERCOLES,2022,MAR,NICOLAS SUAREZ,COBIJA,ZONA CENTRAL,CALLE ORURO,ALTURA AVENIDA PRINCIPAL,"-11.0090523, -68.7862276",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,SIN DATO,FEMENINO,54.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.0090523,-68.7862276,
